candidate,dataset,subject,edge_index,dense_samples,dense_length_mm,chord_length_mm,relative_length_error,mean_approximation_error_mm,max_approximation_error_mm,median_radius_mm,max_error_over_median_radius,containment_fraction
optimal_radius_0p5x,ixi,IXI068-Guys-0756-MRA_IXI-Guys,1356,6,3.099475340683839,3.063174224604748,0.01171201964493822,0.10282366401285176,0.1876455187577071,0.7314562885682343,0.2565368863326171,1.0
optimal_radius_0p5x,ixi,IXI068-Guys-0756-MRA_IXI-Guys,1357,5,2.580349465170177,2.523672627359207,0.021964791426897667,0.11970398273226271,0.23996277587181009,0.6629125652155398,0.3619825425903467,1.0
optimal_radius_0p5x,ixi,IXI068-Guys-0756-MRA_IXI-Guys,1358,6,3.2328950189645287,3.1967536086175325,0.011179271252232606,0.09712144901688398,0.17971409622193046,0.6629125652155398,0.2710977369443859,1.0
optimal_radius_0p5x,ixi,IXI068-Guys-0756-MRA_IXI-Guys,1359,6,4.043588940794381,4.009278668859069,0.0084851038119052,0.12075033245898466,0.21936888507672478,0.6629125652155398,0.33091677030650196,0.9583333333333334
optimal_radius_0p5x,ixi,IXI068-Guys-0756-MRA_IXI-Guys,1360,4,2.5396870885925558,2.5152797568821468,0.009610369647520257,0.07151300862319748,0.14699754914144675,0.5658312677066086,0.2597904314076666,1.0
optimal_radius_0p5x,ixi,IXI068-Guys-0756-MRA_IXI-Guys,1361,6,3.8933823686908475,3.865298455634963,0.0072132429842300715,0.10789009533439768,0.1972183115440021,0.7314562885682343,0.26962419303283425,1.0
optimal_radius_0p5x,ixi,IXI068-Guys-0756-MRA_IXI-Guys,1362,9,4.667450582816624,4.637606783902089,0.0063940256859721205,0.1333150632369452,0.23282206142739134,0.6629125652155398,0.3512108136790128,1.0
optimal_radius_0p5x,ixi,IXI068-Guys-0756-MRA_IXI-Guys,1363,9,4.464827882340811,4.437761064065538,0.006062231062103646,0.11386738199675125,0.19995631344882345,0.6629125652155398,0.30163301156285904,1.0
optimal_radius_0p5x,ixi,IXI068-Guys-0756-MRA_IXI-Guys,1364,6,2.7065828957579217,2.6365645145229957,0.025869660724106073,0.14426933716136273,0.26276669371737055,0.6629125652155398,0.3963821286626758,1.0
optimal_radius_0p5x,ixi,IXI068-Guys-0756-MRA_IXI-Guys,1365,6,3.2463156836495433,3.210866683928519,0.01091976356445168,0.11099773362236787,0.20526217943796102,0.6629125652155398,0.30963688155650204,1.0
optimal_radius_0p5x,ixi,IXI068-Guys-0756-MRA_IXI-Guys,1366,9,4.48077238882702,4.4330886942758365,0.010641847077545149,0.13070861223107033,0.23137411060963173,0.6629125652155398,0.34902658774374357,1.0
optimal_radius_0p5x,ixi,IXI068-Guys-0756-MRA_IXI-Guys,1367,6,2.480533650978411,2.4356750665287663,0.018084247489225116,0.10660724941197482,0.2044413503699133,0.4687499701976776,0.43614157518494956,1.0
optimal_radius_0p5x,ixi,IXI068-Guys-0756-MRA_IXI-Guys,1368,9,3.860790900256922,3.827870085434766,0.008526961359126051,0.11723240834980173,0.20462576030562266,0.6629125652155398,0.3086768467559376,1.0
optimal_radius_0p5x,ixi,IXI068-Guys-0756-MRA_IXI-Guys,1369,4,1.4663005120787969,1.4658732632201605,0.00029137878294170584,0.007136097021762237,0.015516436601168337,0.4687499701976776,0.033101733520377326,1.0
optimal_radius_0p5x,ixi,IXI068-Guys-0756-MRA_IXI-Guys,1370,6,2.6262123307753242,2.5870078974766826,0.014928127798054894,0.10527229268043381,0.203831616501174,0.6629125652155398,0.30747888514513233,1.0
optimal_radius_0p5x,ixi,IXI068-Guys-0756-MRA_IXI-Guys,1371,8,4.292805424048626,4.247770103658779,0.010490883219992982,0.14757451438441876,0.2695403547596758,0.6629125652155398,0.4066001595127968,1.0
optimal_radius_0p5x,ixi,IXI068-Guys-0756-MRA_IXI-Guys,1372,5,2.3406097243791413,2.277426204946101,0.026994470190796066,0.12120961382843545,0.2489636847135764,0.6629125652155398,0.3755603646351585,1.0
optimal_radius_0p5x,ixi,IXI068-Guys-0756-MRA_IXI-Guys,1373,6,2.440893001319396,2.4012731691262825,0.016231695601444867,0.10035724948202412,0.19812109235824255,0.800000011920929,0.24765136175751032,1.0
optimal_radius_0p5x,ixi,IXI068-Guys-0756-MRA_IXI-Guys,1374,5,1.9781030871571912,1.9245856938461414,0.027054906116122438,0.10207829860214339,0.21013439854565588,0.800000011920929,0.26266799426801174,1.0
optimal_radius_0p5x,ixi,IXI068-Guys-0756-MRA_IXI-Guys,1375,3,1.0155047941970747,1.0053535689246396,0.0099962356952351,0.02385102834068394,0.07155308502205182,0.6629125652155398,0.10793743968148652,1.0
optimal_radius_0p5x,ixi,IXI068-Guys-0756-MRA_IXI-Guys,1376,7,3.0521225293290106,3.0380170219277374,0.004621540343065538,0.05768599402151504,0.09824260210939423,0.6629125652155398,0.14819843108186007,1.0
optimal_radius_0p5x,ixi,IXI068-Guys-0756-MRA_IXI-Guys,1377,8,3.4105951820057054,3.320401664805928,0.026445096057027894,0.1806905625211137,0.3100201530028645,0.7314562885682343,0.42383961673185355,1.0
optimal_radius_0p5x,ixi,IXI068-Guys-0756-MRA_IXI-Guys,1378,7,3.3789418250095347,3.3591377976779846,0.0058610145889369325,0.06727814528131797,0.1400682589781209,0.6629125652155398,0.2112922070387654,1.0
optimal_radius_0p5x,ixi,IXI068-Guys-0756-MRA_IXI-Guys,1379,7,3.5111523625116945,3.484831777031198,0.00749628120998665,0.09668207252698266,0.17823916953253519,0.6629125652155398,0.26887281805343727,0.9655172413793104
optimal_radius_0p5x,ixi,IXI068-Guys-0756-MRA_IXI-Guys,1380,10,4.445356540762821,4.386352204921329,0.013273251605453054,0.12124198416248436,0.21812198967223756,0.4687499701976776,0.4653269408854636,1.0
optimal_radius_0p5x,ixi,IXI068-Guys-0756-MRA_IXI-Guys,1381,5,2.2057897055912754,2.161983863979591,0.019859482298173928,0.09453672178345954,0.1920376442604279,0.4687499701976776,0.4096803338023537,1.0
optimal_radius_0p5x,ixi,IXI068-Guys-0756-MRA_IXI-Guys,1382,3,0.9374999403953552,0.9374999403953552,0.0,0.0,0.0,0.800000011920929,0.0,1.0
optimal_radius_0p5x,ixi,IXI068-Guys-0756-MRA_IXI-Guys,1383,9,3.970777086236417,3.9197193557895353,0.012858372388583346,0.08770739669975934,0.16772523654191865,0.800000011920929,0.20965654255327237,1.0
optimal_radius_0p5x,ixi,IXI068-Guys-0756-MRA_IXI-Guys,1384,7,3.155441361319263,3.0641204278999177,0.028940779739657384,0.17910502600654368,0.33779360923453816,0.800000011920929,0.42224200525127653,1.0
optimal_radius_0p5x,ixi,IXI068-Guys-0756-MRA_IXI-Guys,1385,3,1.284914815760617,1.2812615023967515,0.0028432339008425374,0.016123901246940756,0.04837170374082227,0.800000011920929,0.060464628775034654,1.0
optimal_radius_0p5x,ixi,IXI068-Guys-0756-MRA_IXI-Guys,1386,6,2.9506087097889715,2.8959871648910824,0.018511958131444548,0.11949634024323312,0.23779079775391307,0.7314562885682343,0.32509228708576565,1.0
optimal_radius_0p5x,ixi,IXI068-Guys-0756-MRA_IXI-Guys,1387,10,5.01240207753121,4.942868560185425,0.013872294414982868,0.10813676146774553,0.20839544791389916,0.7314562885682343,0.284904855110093,1.0
optimal_radius_0p5x,ixi,IXI068-Guys-0756-MRA_IXI-Guys,1388,6,2.893430126209198,2.83406902187115,0.020515824384471797,0.13606928292636028,0.2550808372432573,0.800000011920929,0.31885104180282087,1.0
optimal_radius_0p5x,ixi,IXI068-Guys-0756-MRA_IXI-Guys,1389,8,3.863493902190517,3.8003418975683174,0.016345827435211895,0.1635034747033083,0.31946963804334527,0.7314562885682343,0.43675834501153976,1.0
optimal_radius_0p5x,ixi,IXI068-Guys-0756-MRA_IXI-Guys,1390,6,4.1009316615039095,4.07918666153822,0.005302453627748428,0.09302603257354226,0.16477068204185907,0.6629125652155398,0.2485556779094773,1.0
optimal_radius_0p5x,ixi,IXI068-Guys-0756-MRA_IXI-Guys,1391,5,3.4152114932863613,3.4009689967748855,0.004170311718461292,0.06717024977019762,0.1339434079758212,0.4687499701976776,0.28574595518232376,1.0
optimal_radius_0p5x,ixi,IXI068-Guys-0756-MRA_IXI-Guys,1392,6,2.739883924029165,2.7177241669504473,0.008087845212847737,0.0802953355978935,0.14617304829258285,0.7314562885682343,0.19983839168120981,1.0
optimal_radius_0p5x,ixi,IXI068-Guys-0756-MRA_IXI-Guys,1393,6,2.541145683357228,2.460552866518614,0.031715150125568116,0.13773496910644248,0.2729767572792786,0.7314562885682343,0.37319626824674407,1.0
optimal_radius_0p5x,ixi,IXI068-Guys-0756-MRA_IXI-Guys,1394,7,3.8337013059428076,3.7615001830038395,0.01883326769016814,0.17589259674006824,0.3216328838116528,0.6629125652155398,0.4851814563313895,1.0
optimal_radius_0p5x,ixi,IXI068-Guys-0756-MRA_IXI-Guys,1395,6,3.1316410386129716,3.101697210177308,0.009561705210289942,0.09852457988013229,0.19415684783252435,0.6629125652155398,0.292884549215621,0.9615384615384616
optimal_radius_0p5x,ixi,IXI068-Guys-0756-MRA_IXI-Guys,1396,6,2.806291955548723,2.7739970154204308,0.011508047145428829,0.09913530019352924,0.1836110061927762,0.6629125652155398,0.27697620444572024,1.0
optimal_radius_0p5x,ixi,IXI068-Guys-0756-MRA_IXI-Guys,1397,5,2.340406437950823,2.2935143696660734,0.020035865362687432,0.10317110908441621,0.21161311030515612,0.6629125652155398,0.3192172262360906,1.0
optimal_radius_0p5x,ixi,IXI068-Guys-0756-MRA_IXI-Guys,1398,4,1.5842266757651502,1.5768865657075328,0.004633244831628806,0.030825280645662288,0.0672141385254769,0.4687499701976776,0.14339017130418563,1.0
optimal_radius_0p5x,ixi,IXI068-Guys-0756-MRA_IXI-Guys,1399,2,0.6038693326230548,0.6038693326230548,0.0,0.0,0.0,0.4687499701976776,0.0,1.0
optimal_radius_0p5x,ixi,IXI068-Guys-0756-MRA_IXI-Guys,1400,3,1.069505165874618,1.0687585452910207,0.0006980990905142031,0.0066590792177057415,0.019977237653117225,0.6629125652155398,0.030135554372275046,1.0
optimal_radius_0p5x,ixi,IXI068-Guys-0756-MRA_IXI-Guys,1401,2,0.5986722994623913,0.5986722994623913,0.0,0.0,0.0,0.5658312677066086,0.0,1.0
optimal_radius_0p5x,ixi,IXI068-Guys-0756-MRA_IXI-Guys,1402,3,1.429245729996858,1.4288354731016712,0.0002870443385460401,0.005705219810823988,0.017115659432471963,0.4687499701976776,0.03651340911073355,1.0
optimal_radius_0p5x,ixi,IXI068-Guys-0756-MRA_IXI-Guys,1403,4,2.7516263360128224,2.749934823711612,0.0006147318329789999,0.019265369910162193,0.039144830778397526,0.5658312677066086,0.0691811022339873,1.0
optimal_radius_0p5x,ixi,IXI068-Guys-0756-MRA_IXI-Guys,1404,5,3.4422600532431242,3.429240910203357,0.0037821497616082355,0.06651256356121656,0.13590788677708088,0.4687499701976776,0.28993684355812727,1.0
optimal_radius_0p5x,ixi,IXI068-Guys-0756-MRA_IXI-Guys,1405,7,5.120516180384669,5.090271400097104,0.0059065881684789165,0.13101929068360346,0.24735780823816478,0.6629125652155398,0.37313790870405167,1.0
optimal_radius_0p5x,ixi,IXI068-Guys-0756-MRA_IXI-Guys,1406,8,4.345480798532044,4.321661189592205,0.005481466848935572,0.09644589248932323,0.19773027487755349,0.7314562885682343,0.2703241163796599,1.0
optimal_radius_0p5x,ixi,IXI068-Guys-0756-MRA_IXI-Guys,1407,3,0.9828328110873603,0.9789896959256656,0.003910243042703085,0.014466619054122875,0.043399857162368626,0.9272144054283292,0.046806711487964794,1.0
optimal_radius_0p5x,ixi,IXI068-Guys-0756-MRA_IXI-Guys,1408,11,5.048352690392166,4.9631970820342035,0.01686799904452545,0.19180246979429108,0.3101372068631732,0.9272144054283292,0.33448273133753187,1.0
optimal_radius_0p5x,ixi,IXI068-Guys-0756-MRA_IXI-Guys,1409,12,5.830150846887319,5.776887473519398,0.00913584824247864,0.18582832495266685,0.27212465788714113,0.800000011920929,0.34015581729020977,1.0
optimal_radius_0p5x,ixi,IXI068-Guys-0756-MRA_IXI-Guys,1410,9,4.114638051126176,4.0440479112667544,0.01715585647687807,0.16645789793352186,0.2768673873828507,0.800000011920929,0.3460842290715065,1.0
optimal_radius_0p5x,ixi,IXI068-Guys-0756-MRA_IXI-Guys,1411,9,3.8709549350345447,3.834760889107243,0.009350159465749136,0.08978072030361116,0.17180893171235556,0.800000011920929,0.21476116144025376,1.0
optimal_radius_0p5x,ixi,IXI068-Guys-0756-MRA_IXI-Guys,1412,10,4.4323199682738075,4.379325723848363,0.011956321927291551,0.0908737453022513,0.1654930119171181,0.800000011920929,0.20686626181385012,1.0
